Feature,Train Losses,Test Losses
BCI,"[0.27693904711390444, 0.21444737011531614, 0.14283714598079897, 0.12822427502218284, 0.11926406790625374, 0.11280211918758896, 0.10038731008205774, 0.09234128344171452, 0.0782479094165676, 0.06234464906858948, 0.047258156650471235, 0.03733944731219759, 0.032323779678850806, 0.028675229973950476, 0.02558823488652706, 0.02301303525718878, 0.02032408989825339, 0.018056668411448318, 0.016618235862620595, 0.017495358503370913, 0.016821570448436827, 0.017015882258145314, 0.014836437736620318, 0.014203138139872055, 0.01265133059812042, 0.012366307952072261, 0.011272845543780417, 0.010676081801922817, 0.010344097636780649, 0.010063272022273181, 0.011307835912788814, 0.010025328605101918, 0.009337259386226817, 0.009391554350138834, 0.009644595589840188, 0.033232937162777164, 0.02055001230734699, 0.015603315840773988, 0.01304338933935143, 0.011069595479880864, 0.009817452890411863, 0.008829170820426266, 0.008231973864208415, 0.007789516575493902, 0.007476444883307196, 0.007207070099506175, 0.007003123828051788, 0.006827584186674289, 0.006599985950468284, 0.006512165464952869, 0.006355541573731967, 0.00625779062404104, 0.0061531473425621135, 0.0060202895206803424, 0.005943768648957869, 0.005845609709690764, 0.005875388371213427, 0.00592353094790904, 0.006019129655060341, 0.006206140589882743, 0.006178912407947036, 0.006013470974241225, 0.006147003565686491, 0.0055354174823974665, 0.006448113570376387, 0.007026300317484815, 0.006215766599436976, 0.006850241085971301, 0.007185410673044763, 0.006186004701720656]","[0.2676468679198512, 0.17111239499515957, 0.14380593101183572, 0.14832910233073765, 0.12977980408403608, 0.12138814755060055, 0.1142166582522569, 0.0989111645354165, 0.07830059914677232, 0.05685408578978644, 0.0439476470152537, 0.036407416617428814, 0.030880011687124218, 0.02877000243299537, 0.026086540823733365, 0.023330595206331323, 0.02085639343217567, 0.01901891248093711, 0.018193982886495413, 0.018203646772437625, 0.02156645852934431, 0.01614644612979006, 0.01647561077994329, 0.014933675975987205, 0.015830260942931527, 0.014306334537212495, 0.013306552578729612, 0.01306954422896659, 0.012642761623417889, 0.01267250485856224, 0.014067994603128344, 0.012257117674582534, 0.01268685588406192, 0.01223800652143028, 0.015631200124820072, 0.02358994494985651, 0.021560824441689032, 0.015833781894158433, 0.014242104496116991, 0.014202552675097077, 0.011762639783598759, 0.011639694579773478, 0.011186337305439843, 0.010759897806026318, 0.010611266449645714, 0.010586920953183263, 0.0105107089297639, 0.010282113906685953, 0.010094735150535902, 0.01010900618577445, 0.010076821643721175, 0.010079499437577195, 0.009773416168711803, 0.009896508004102442, 0.009639865201380517, 0.009755004369826228, 0.01031267156617509, 0.009657571644142823, 0.010167227644059394, 0.009612761851814058, 0.010064820310583821, 0.010593259603612952, 0.00995295801786361, 0.01084728825285479, 0.010918701722942016, 0.011648157921930155, 0.010077543211755928, 0.013363280644019445, 0.010405902957750691, 0.010059941077121982]"
BSAR,"[14.40584233122052, 35.55556736352309, 16.908913828291983, 16.18409570657982, 11.733601174264583, 11.177596726507511, 9.514211429739898, 9.112315834693188, 8.915472876350835, 8.320942851732362, 7.81247633808064, 7.218407684901975, 6.73625111579895, 6.417357588714024, 6.056819555894384, 5.9180435144676355, 5.628478284152049, 5.485403879633489, 5.233861851242353, 5.014503802893297, 4.758009834109612, 4.518855418799059, 4.299572967133432, 4.146579526505381, 3.9355696417250723, 3.7679898693876446, 3.651359495126976, 3.5283145004848264, 3.3874225256577977, 3.2632097388213537, 3.1409649489060887, 2.9979617258287825, 2.91344719113044, 3.2387437033203414, 3.9013978760197476, 6.1713121927009436, 4.417850413412418, 3.939762830734253, 3.1155476750067943, 2.760606624045462, 2.6329594558140017, 2.4657120929574066, 2.3573825269375206, 2.2591622595517142, 2.1535147788389675, 2.077464911172975, 1.9646107835589715, 1.9047771804737594, 1.7941644619096, 1.7446118210846524, 1.671911597251892, 1.531665509601809, 1.5566860234962319, 1.6195161590036355, 1.6380457923097431, 1.5660988632238135, 1.6487004284588795, 3.576425071032542]","[11.701659167254412, 19.192003108836985, 20.14728789859348, 15.121955694975677, 10.759269855640552, 11.027767640573007, 9.736950344509548, 9.711373682375308, 8.29334522176672, 7.861676392731844, 6.860898777290627, 6.132297727796766, 5.788122088820846, 5.002588484022352, 4.730050104635733, 4.396194864202429, 4.215220398373074, 3.9553810755411782, 3.8514867800253407, 3.7591744087360524, 3.5562801007871276, 3.362105228282787, 3.3845792169924134, 3.089037268250077, 3.000936057832506, 2.962568521499634, 2.8237320140556053, 2.8516761550196894, 2.836199398393984, 2.7887156009674072, 2.780305844766122, 2.8532007182085954, 3.2237709363301597, 3.7039965788523355, 9.872962209913466, 3.6452272291536683, 5.624189818346942, 2.9095314343770347, 2.7483568456437855, 2.733735102194327, 2.676896192409374, 2.7226598174483687, 2.722776006769251, 2.680367858321578, 2.714671011324282, 2.682749289053458, 2.7486187705287226, 2.6743093066745334, 2.7332260696976274, 2.6955426887229637, 2.754149013095432, 2.7909786701202393, 3.194144469720346, 3.026256004969279, 2.7443356249067516, 3.4510696640721075, 3.74745151731703, 5.099134621796785]"
SIQ,"[7.021093386524129, 5.963016878883794, 3.503087862482611, 3.303683951215924, 2.8062588538763658, 2.632734645087764, 2.4653957789798953, 2.3129403118817313, 2.136703522700184, 1.9161679519797272, 1.6454528075344157, 1.334726000731846, 1.0656421229524433, 0.8828134727927873, 0.7580904690724499, 0.666917879626436, 0.5911577760048632, 0.5249188418658275, 0.4850627172668025, 0.44860677617900774, 0.4009638524280404, 0.3745717265695896, 0.34605211244439177, 0.3104851543903351, 0.28580395568091915, 0.27481518826394713, 0.26094265816346657, 0.2574074060287116, 0.323763352520061, 0.3582580705296318, 0.28008394871117936, 0.2526693788339507, 0.24577723078007968, 0.22449670647675135, 0.21309508242697087, 0.19135758758715862, 0.1887403628173864, 0.19797882606398384, 0.24616625230267364, 0.21005112888678065, 0.18394405465081054, 0.17411991897618995, 0.16448634272476412, 0.15951767676281478, 0.15913709857553807, 0.17357579801442488, 0.16988676702076533, 0.15247997725909612, 0.1509615270034322, 0.19487509778085746, 0.36687829471984, 0.25874362857836597, 0.1941324770450592, 0.1649418405766757]","[5.856310932724564, 3.5720593752684415, 3.794138051845409, 3.3688450124528675, 3.1958648010536477, 2.9668838447994657, 2.758016029993693, 2.57347720640677, 2.336775267565692, 2.0099552869796753, 1.6497839600951583, 1.2938605546951294, 1.0012116410114147, 0.8540661070081923, 0.7581426545425698, 0.6686428255505033, 0.5988700831377948, 0.5488519028381065, 0.5146163293608913, 0.4521793612727412, 0.42164644488581904, 0.3953104140581908, 0.37275512350930107, 0.3369545417803305, 0.3213198184967041, 0.3070714771747589, 0.3007058788228918, 0.4230670719235032, 0.3769892398957853, 0.37906231041307803, 0.2862743271721734, 0.31210253084147416, 0.27031135338324086, 0.2694417999850379, 0.2504548778136571, 0.2447235749827491, 0.23872716504114647, 0.2616482217002798, 0.23581430426350347, 0.2591006021808695, 0.24685387699692338, 0.22798947106908868, 0.22736489165712287, 0.2171626521481408, 0.2461052205827501, 0.2513686788302881, 0.2187270869811376, 0.219657051342505, 0.2318509171406428, 0.44853535294532776, 0.26571121922245733, 0.24019569820827907, 0.23150582556371335, 0.23024183566923495]"
SIQ_alpha,"[8.735246199481892, 7.501417285991165, 4.378587731775248, 4.0740813759138, 3.400608476602806, 3.217741795305936, 3.0359374217267305, 2.8617887451963604, 2.64448626086397, 2.376767136015982, 2.0502376061565473, 1.6657185194627293, 1.324893591538915, 1.088195744550453, 0.9372475394662821, 0.8257424718928787, 0.7321750949013908, 0.6543052522641308, 0.5806546188750357, 0.5376843995643112, 0.4882987900724951, 0.44594844613435136, 0.43099736829973617, 0.3982060641612647, 0.35712358355522156, 0.343833161412545, 0.32916963662741316, 0.3123048223414511, 0.36583866094643214, 0.4308398073574282, 0.5103960273400793, 0.41247908461768673, 0.32515103187201155, 0.2833407830517247, 0.26747210070771993, 0.25296988183597346, 0.2470564785993324, 0.23868919543500217, 0.2317204790295295, 0.22428958342885072, 0.21852012484703423, 0.2197636216878891, 0.21121650118872803, 0.21949005745491892, 0.20127633663843264, 0.20474173044258692, 0.2054942511724976, 0.20748338496909952, 0.19434693989888677, 0.19961839014629149, 0.22985074570718803, 0.32515155931688705, 0.3606650593145838, 0.29693239758599477, 0.26565533707726674, 0.2891159175701861, 0.401112382142049]","[7.1842612690395775, 4.845472512421785, 4.506887912750244, 3.9293225782888905, 3.8417163336718523, 3.6793905982264765, 3.478579936204133, 3.2109039624532065, 2.9062912552445024, 2.515220394840947, 2.0661381483078003, 1.6016029207794755, 1.2235249545839098, 1.052388588587443, 0.9247692403969942, 0.8212548560566373, 0.7421520021226671, 0.6434669141416196, 0.6215093930562338, 0.5583869218826294, 0.497219650833695, 0.46778536836306256, 0.475781935232657, 0.42126851390909265, 0.4003102426175718, 0.38481740929462294, 0.37505024671554565, 0.444380365036152, 0.388160048811524, 0.47602927022510105, 0.372039086288876, 0.375775080036234, 0.35978253351317513, 0.33717215171566717, 0.33482659525341457, 0.3189042232654713, 0.3201280324547379, 0.3059150057810324, 0.2985147182588224, 0.2996614255287029, 0.3173548910352919, 0.2890485569282814, 0.3200415207280053, 0.29563151907037805, 0.29735884732670254, 0.30288829847618387, 0.28355054281376024, 0.3113384864948414, 0.30233949091699386, 0.3046242186316737, 0.31117584970262313, 0.5562882699348308, 0.2864699352670599, 0.28696384529272717, 0.30440597512103895, 0.34561323678051986, 0.7852708057120994]"
SIQ_beta,"[5.128574816685803, 4.537048870662473, 2.6621630461710803, 2.3526879818934314, 1.9856642012326222, 1.8836105364673543, 1.7681359277581268, 1.6441014555265319, 1.4913637120768708, 1.3070351650130074, 1.1030886465648435, 0.8969129054051526, 0.747337742796484, 0.6388365918735288, 0.5589153361770341, 0.5001174582625335, 0.45301768127477393, 0.4143278497569966, 0.39609563969216255, 0.357048491824348, 0.31509928264707887, 0.293655627178696, 0.27568887146014087, 0.2656389685734263, 0.25632436714082396, 0.23494020048177466, 0.22110586571243573, 0.21560710668563843, 0.26741359537502507, 0.33181156471090495, 0.2341106264096386, 0.205532487270967, 0.18430583432035627, 0.17680887118825372, 0.18045133633433647, 0.17399466515712017, 0.16953959836150115, 0.16746833892363422, 0.1962505323144625, 0.1615932769370529, 0.14668045713091796, 0.1418686849328707, 0.13788630911764108, 0.13611980738504878, 0.1408395694111878, 0.231021264251673, 0.30882577682441137, 0.23154720607793555, 0.18073025205225315, 0.18262709649103992, 0.1700353054505474, 0.17521059400630448, 0.14468784602183216, 0.13102954752602666, 0.12335802389765685, 0.11800485680688103, 0.1119225930492833, 0.11613361635860407, 0.11149053317758273, 0.10703464864559893, 0.10585529033867817, 0.10036882406698083, 0.0973446934290652, 0.09290350678394425, 0.08963450241201329, 0.08900461753584304, 0.09151884210559558, 0.09028958444887737, 0.10510525613460901, 0.10996007118022667, 0.11139492803024796, 0.09258873662296331, 0.08058783636902864, 0.07796862749558575, 0.07896963506937027, 0.08091623926500105, 0.08917630843396457, 0.08147405481563424, 0.09400644715664522, 0.12817292505840086, 0.20883571033207876, 0.21055734804216422, 0.13059416300845597]","[4.390883790122138, 2.9464451207054987, 2.562409197842633, 2.2993831502066717, 2.2556135654449463, 2.1373098735456115, 1.979511574462608, 1.811096469561259, 1.6017128449899178, 1.3450018829769559, 1.0809019914379827, 0.8473586528389542, 0.6946706131652549, 0.622063159942627, 0.5600203849651195, 0.5038611767468629, 0.4534355876622377, 0.4407949458669733, 0.420369788452431, 0.3748377870630335, 0.3366114342654193, 0.3209983894118556, 0.3041774222144374, 0.3119644886917538, 0.28056875202390885, 0.27135039810781125, 0.2661216700518573, 0.3155126604768965, 0.359755163943326, 0.31086121444348935, 0.28872039086288875, 0.24254683598324103, 0.23873987904301397, 0.22950847888434375, 0.24762199819087982, 0.2407803342298225, 0.2175053573316998, 0.23485943950988628, 0.2156778496724588, 0.20824086445349235, 0.20678700782634593, 0.20363158760247407, 0.20622644932181747, 0.20068757456761818, 0.3819525826860357, 0.45210463139745927, 0.2948851927562996, 0.24097758752328377, 0.22972064437689604, 0.2058641176532816, 0.20188558653548913, 0.19085745954955066, 0.2034685998051255, 0.19505377665713983, 0.18938396595142507, 0.18587427834669748, 0.19798823142493213, 0.17959759853504323, 0.17726287411318886, 0.1791447776335257, 0.18332472057254226, 0.17677112696347413, 0.17428146633836958, 0.1706709365049998, 0.16990095376968384, 0.17250936837108047, 0.16770534438115578, 0.17198384746357245, 0.20012839524834244, 0.1807404508193334, 0.20488029166504187, 0.1658955282635159, 0.16280648719381402, 0.16718913062855048, 0.16734317938486734, 0.16885510694097589, 0.16561968514212855, 0.20324323022807086, 0.17292076294068937, 0.16856392390198177, 0.46769074930085075, 0.25219755205843186, 0.22397870101310588]"
SIQ_delta,"[10.683767696596542, 9.85986418094275, 39.1942239707371, 10.570883067149037, 11.005483627319336, 9.40568776400584, 7.82003409907503, 7.2506402933372645, 7.2668964367992475, 7.003560669017288, 6.547613125927043, 5.924838389990465, 4.912801841519913, 3.993919754928013, 2.994380091721157, 2.0176840278337584, 1.3456774455196452, 1.0069043377660356, 0.7882925699341972, 0.6743688234743083, 0.5709380231938272, 0.5132838971209976, 0.46395381554117743, 0.4306738466586707, 0.40290492997979216, 0.37435319682337204, 0.36529811204604384, 0.3600715365049974, 0.33402026655539024, 0.34172106407723335, 0.3389792819068117, 0.32430717461514025, 0.31914639529192224, 0.29854003719563754, 0.28730898420765716, 0.2652364581261041, 0.25171852168047204, 0.24967413690854917, 0.2438168317641852, 0.2366178530567097, 0.23511403039941248, 0.22776450779078142, 0.21678852472665175, 0.21502674019561624, 0.20495817627546922, 0.208017646141772, 0.2073088802818982, 0.20510012642392572, 0.19801511320303072, 0.21589295088120228, 0.20118731457107472, 0.19509151634180322, 0.19742641752620912, 0.18787263474374447, 0.20357960968647362, 0.20674285011471444, 0.22144726930924183, 0.2294772132387701, 0.23999441682167774, 0.2930562569285339]","[8.629535975279632, 8.07161604916608, 9.279654697135642, 11.126145292211461, 10.032032472115976, 8.282243340103715, 7.330615273228398, 7.414506982873987, 7.252282531173141, 6.929196604975948, 6.477917300330268, 5.732029897195321, 4.919316645021792, 3.9987167429040977, 2.8165075514051647, 1.826902879609002, 1.2461594608094957, 0.9053585639706364, 0.772343756975951, 0.6525221444942333, 0.5878055581340084, 0.5280203885502286, 0.5142688022719489, 0.5020997546337269, 0.4382102401168258, 0.4076485678001686, 0.4589159974345454, 0.4038938846853044, 0.3992802710444839, 0.4202357398139106, 0.36715568436516655, 0.37769116626845467, 0.3974637576827296, 0.39985954099231297, 0.36086652565885474, 0.3298516328688021, 0.3263899198284856, 0.33660732485629896, 0.33116605325981424, 0.3301480699468542, 0.31563348681838427, 0.3187642649368004, 0.3161752864166542, 0.2992747624715169, 0.31303833259476554, 0.31112538112534416, 0.3081030558656763, 0.3021227308997401, 0.30603840284877354, 0.29254161649280125, 0.30999025371339584, 0.2947992770760148, 0.29993444350030685, 0.2932317852973938, 0.3073875606060028, 0.34102358641447844, 0.38821211126115585, 0.29327511897793523, 0.4171097433125531, 0.3282315598593818]"
SIQ_theta,"[10.97389877067422, 9.076300540060368, 5.2741645507092745, 5.182551428956805, 4.447127324230266, 4.166851583516823, 3.878184179090104, 3.628308264714367, 3.3536606464745864, 3.007667105152922, 2.5759925842285156, 2.063737055040755, 1.6549280499512296, 1.3711912047188237, 1.165092555981762, 1.0045513184565418, 0.8720007954903368, 0.7727118944222072, 0.6706162871054884, 0.6334686088112166, 0.6028399107591161, 0.5194882919203561, 0.47646330999878217, 0.5084318361192379, 0.5234147164056886, 0.44858642119281694, 0.4065761110692654, 0.36647449630611345, 0.37160849402535634, 0.3663830155471586, 0.32896691335822054, 0.3081845764843923, 0.3033318412753771, 0.33554709070133715, 0.34806713855491495, 0.41500842571258545, 0.43413819906846535, 0.332723986427739, 0.30451139357854734, 0.2826959859087782, 0.2572450581586586, 0.23932325165226775, 0.23126602369659352, 0.2302398316140445, 0.30587333215857454, 0.3981651455726264, 0.5707657753296618, 0.4250693804812881, 0.30351989055579565, 0.2822670188714873, 0.25653442627978773, 0.2665025842077327, 0.2337720680911586, 0.22077524268402243, 0.21162183723359737, 0.2277115631215977, 0.19725478117196066, 0.22697166873598998, 0.21573645748057454, 0.18774084887414608, 0.18639853456110325, 0.19028943299122578, 0.17446365502645383, 0.16985736646742192, 0.1703134924173355, 0.16641496037537196, 0.21136292815208435, 0.24024972179025975, 0.28672764998561934, 0.29208300417324284, 0.20725843928894908, 0.17347302414336294, 0.16247148502547787]","[8.898537600481951, 5.3863406357941805, 6.12850519462868, 5.456803145232024, 5.079076766967773, 4.681287429950856, 4.3221091694302025, 4.032953438935457, 3.6623640855153403, 3.1418534914652505, 2.558974716398451, 1.957749574272721, 1.5754922716705888, 1.3252790371576946, 1.1467590641092371, 1.009746304264775, 0.8860519020645706, 0.7827799408524124, 0.7313278295375683, 0.6750136680073209, 0.5979712473021613, 0.5551246735784743, 0.5165641131224455, 0.7043207044954654, 0.5642210355511418, 0.4587784365371422, 0.44106212810233786, 0.45507185216303225, 0.4263498109799844, 0.4136715023605912, 0.38444083818682917, 0.39801834358109367, 0.4113246323885741, 0.4056558233720285, 0.4270597254788434, 0.5806465259304753, 0.355728797338627, 0.4546013496540211, 0.3513536342868098, 0.3606977782867573, 0.3337170856970328, 0.32870626118448043, 0.3302564532668502, 0.36590953667958576, 0.5563302547843368, 0.7936784867887143, 0.5719126926528083, 0.4250380981851507, 0.41514662460044577, 0.33852344861737005, 0.32602327068646747, 0.3093152752629033, 0.3353519649417312, 0.3136813861352426, 0.31672868022212275, 0.2939666873878903, 0.36839777341595403, 0.29931281010309857, 0.28856499437932615, 0.29952384365929496, 0.3172492705009602, 0.2901969927328604, 0.27562575980469034, 0.29144622330312375, 0.28327945205900407, 0.3881278336048126, 0.2953504202542482, 0.38501972511962607, 0.37456016959967436, 0.3854883059307381, 0.2910509837998284, 0.2806988369535517, 0.28164158595932853]"
SignalSD,"[183.95856454237452, 213.79714793079305, 188.4948741984817, 182.00806894842185, 274.40728730975457, 190.13927315765957, 19254.144600922205, 202.5155279771337, 208.1099516670659, 209.06782934800634, 209.63571454893867, 209.78640171266952, 209.66442683957658, 209.44641732269864]","[134.6741352787724, 156.1873304578993, 173.51135988588686, 120.02882667824075, 161.0119366115994, 168.1330908316153, 165.50728578920717, 189.0229870831525, 190.14935020164208, 190.90658908420139, 191.23093046965423, 191.18873596191406, 190.97872416178384, 190.72637374312788]"
alphakurtosis,"[9.967929453220007, 6.717492301509066, 5.784883031305277, 5.40149226278629, 4.78674667286423, 4.326763503956345, 3.7378803918946466, 3.2986250913368083, 3.0332178417241797, 2.7425290098730124, 2.5241331536814853, 2.335529921189794, 2.185885447376179, 2.0419153604867324, 1.9243769645690918, 1.8249047342336402, 1.7461573582775187, 1.6876912634327728, 1.6299017690262705, 1.5671699969273694, 1.4982287141512025, 1.4343053507355024, 1.3977480811892815, 1.319285457988955, 1.26538511042325, 1.2088581346115976, 1.2088331793839078, 1.2122135780892282, 1.170051228325322, 1.0873084383190803, 1.0733363246018033, 1.2001412544610366, 1.1194549382857557, 1.1093834391180075, 1.1662484204994057, 1.0546962112750646, 1.3890391610703379, 2.5525588449442163, 2.9336108126730287, 2.0132390058265544, 1.4969812789053287, 1.278877782371809, 1.2396167606677648, 1.1428068381435466, 1.0531621609094008]","[11.001389079623753, 8.328008581090856, 8.739679972330729, 7.433381575125235, 6.8235103995711714, 5.861431987197311, 5.01204487129494, 4.774765862358941, 4.228087654820195, 3.8409449789259167, 3.6611465877956815, 3.4368536648926913, 3.2654732686501964, 3.0603658888075085, 2.936426692538791, 2.8067057485933655, 2.7124852074517145, 2.7752645722141973, 2.581208211404306, 2.6215688387552896, 2.410582939783732, 2.426349825329251, 2.38878302220945, 2.246703792501379, 2.2298600673675537, 2.1976758903927274, 2.314377705256144, 2.3264594078063965, 2.0728840739638716, 2.0581433728889182, 2.0534854509212352, 2.1397880492386996, 2.1742279088055647, 2.154274198744032, 2.0080422869435064, 2.6576210569452354, 3.5114384668844716, 2.3367381978918007, 2.955793054015548, 3.1426891220940485, 2.4862778098494918, 2.3039185912520797, 2.4023282527923584, 2.3128672264240406, 2.0822176580075866]"
alphameanrat,"[0.008048090732322549, 0.007502794476612559, 0.007642419455256665, 0.007560558072379175, 0.007223568101114822, 0.006944896126130842, 0.0068685803562402725, 0.006676418548625595, 0.006724037010363251, 0.006904377268170411, 0.00690628421264437, 0.006825520894226601, 0.006650979138629616, 0.006628448459899651, 0.007119144682052001, 0.006765620941120498, 0.0071580082591060756, 0.007163598430606554, 0.007086556106102916, 0.006966090761125088, 0.007068982505995147, 0.007022160720431579, 0.007285596143876044]","[0.005725816582088117, 0.005978397938802287, 0.005967805765707184, 0.005790235164264838, 0.005297058796579087, 0.005334539580400343, 0.0051846035790664175, 0.005840744478283105, 0.005294458095536188, 0.005340714318056901, 0.005293469099948804, 0.0051941074499929395, 0.00462175241705996, 0.0051266733143064715, 0.004628545440802419, 0.005488486667336138, 0.005610588248129244, 0.005396419946380236, 0.005288595402682269, 0.005464955871165903, 0.00546266121306905, 0.005345657278128245, 0.005601921912144731]"
